,Name,Location,Company Size,Company Type
0,EClerx,Mumbai,"Company size
10000+ employees","Industry
KPO/Research"
1,Sagility Healthcare,Bangalore,"Company size
10000+ employees","Industry
KPO/Research"
2,Amity University,Noida,"Company size
5001-10000 employees","Industry
KPO/Research"
3,Vaco Binary Semantics LLP,Gurgaon,"Company size
5001-10000 employees","Industry
KPO/Research"
4,Technotask Business Solutions Private Limited,Bhopal,"Company size
5001-10000 employees","Industry
KPO/Research"
5,Dataflow Group,Noida,"Company size
1001-5000 employees","Industry
KPO/Research"
6,Datamatics Business Solutions,Mumbai,"Company size
1001-5000 employees","Industry
KPO/Research"
7,Newgen KnowledgeWorks,Chennai,"Company size
1001-5000 employees","Industry
KPO/Research"
8,Transcom India,Gurgaon,"Company size
1001-5000 employees","Industry
KPO/Research"
9,Data Marshall Private Limited,Hyderabad,"Company size
1001-5000 employees","Industry
KPO/Research"
10,EClerx,Mumbai,"Company size
10000+ employees","Industry
KPO/Research"
11,Sagility Healthcare,Bangalore,"Company size
10000+ employees","Industry
KPO/Research"
12,Amity University,Noida,"Company size
5001-10000 employees","Industry
KPO/Research"
13,Vaco Binary Semantics LLP,Gurgaon,"Company size
5001-10000 employees","Industry
KPO/Research"
14,Technotask Business Solutions Private Limited,Bhopal,"Company size
5001-10000 employees","Industry
KPO/Research"
15,Dataflow Group,Noida,"Company size
1001-5000 employees","Industry
KPO/Research"
16,Datamatics Business Solutions,Mumbai,"Company size
1001-5000 employees","Industry
KPO/Research"
17,Newgen KnowledgeWorks,Chennai,"Company size
1001-5000 employees","Industry
KPO/Research"
18,Transcom India,Gurgaon,"Company size
1001-5000 employees","Industry
KPO/Research"
19,Data Marshall Private Limited,Hyderabad,"Company size
1001-5000 employees","Industry
KPO/Research"
20,FileSure India Private Limited,Mumbai,"Company size
11-50 employees","Industry
KPO/Research"
21,Indian Institute Of Science,Bangalore,"Company size
1000+ employees","Industry
KPO/Research"
22,Innodata India Private Limited,Noida,"Company size
1000+ employees","Industry
KPO/Research"
23,Justdial Limited,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
24,Hindustan Times Media Limited,Gurgaon,"Company size
1000+ employees","Industry
KPO/Research"
25,YouGov,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
26,Merit Software Services Private Limited,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
27,Consero Global,Bangalore,"Company size
1000+ employees","Industry
KPO/Research"
28,Corteva Agriscience,Hyderabad,"Company size
1000+ employees","Industry
KPO/Research"
29,Netscribes (India) Private Limited,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
30,Tredence Analytics Solution,Bangalore,"Company size
1000+ employees","Industry
KPO/Research"
31,Dhruv Research,Gurgaon,"Company size
1000+ employees","Industry
KPO/Research"
32,Mynd Solutions Private Limited,Gurgaon,"Company size
1000+ employees","Industry
KPO/Research"
33,Kisaan Parivar Private Limited,Hyderabad,"Company size
1000+ employees","Industry
KPO/Research"
34,JindalX,Delhi,"Company size
1000+ employees","Industry
KPO/Research"
35,Hinduja Global Solution Ltd,Mumbai,"Company size
1000+ employees","Industry
KPO/Research"
36,Girnar Care,Jaipur,"Company size
501-1000 employees","Industry
KPO/Research"
37,Escalon Business Services,Mohali,"Company size
501-1000 employees","Industry
KPO/Research"
38,Hinduja Global Solution Limited,Mumbai,"Company size
501-1000 employees","Industry
KPO/Research"
39,MetrixLab,Hyderabad,"Company size
201-500 employees","Industry
KPO/Research"
40,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,"Company size
51-200 employees","Industry
KPO/Research"
41,"Indian Institute Of Technology, Bombay",Mumbai,"Company size
51-200 employees","Industry
KPO/Research"
42,BlackBuck,Bangalore,"Company size
0-50 employees","Industry
KPO/Research"
